Constituency,"Valid votes
(%)",Candidate,Party,Alliance,Votes,%,Candidate,Party,Alliance,Votes,%,Margin
Thrikkakara,70.36,P. T. Thomas,INC,UDF,"59,839",43.82,J. Jacob,Ind.,LDF,"45,510",33.32,"14,329"
Kunnathunad (SC),82.93,P. V. Sreenijin,CPI(M),LDF,"52,351",33.79,V. P. Sajeendran,INC,UDF,"49,636",32.04,"2,715"
Piravom,74.85,Anoop Jacob,KC(J),UDF,"85,056",53.8,Sindhumol Jacob,KC(M),LDF,"59,692",37.76,"25,364"
Muvattupuzha,75.83,Mathew Kuzhalnadan,INC,UDF,"64,425",44.63,Eldo Abraham,CPI,LDF,"58,264",40.36,"6,161"
Kothamangalam,79.4,Antony John,CPI(M),LDF,"64,234",46.99,Shibu Thekkumpuram,KC,UDF,"57,629",42.16,"6,605"
Devikulam (SC),68.53,A. Raja,CPI(M),LDF,"59,049",51,D. Kumar,INC,UDF,"51,201",44.22,"7,848"
Udumbanchola,74.84,M. M. Mani,CPI(M),LDF,"77,381",61.8,E. M. Augusthy,INC,UDF,"39,076",31.21,"38,305"
Thodupuzha,72.76,P. J. Joseph,KC,UDF,"67,495",48.63,K. I. Antony,KC(M),LDF,"47,236",34.03,"20,259"
Idukki,70.64,Roshy Augustine,KC(M),LDF,"62,368",47.48,Francis George,KC,UDF,"56,795",43.24,"5,573"
Peerumade,73.06,Vazhoor Soman,CPI,LDF,"60,141",47.25,Syriac Thomas,INC,UDF,"58,306",45.81,"1,835"
Pala,75.26,Mani C. Kappan,NCK,UDF,"69,804",50.43,Jose K. Mani,KC(M),LDF,"54,426",39.32,"15,378"
Kaduthuruthy,70.48,Monce Joseph,KC,UDF,"59,666",45.4,Stephen George,KC(M),LDF,"55,410",42.17,"4,256"
Vaikom (SC),77.69,C. K. Asha,CPI,LDF,"71,388",55.96,P. R. Sona,INC,UDF,"42,266",33.13,"29,122"
Ettumanoor,75.45,V. N. Vasavan,CPI(M),LDF,"58,289",46.2,Prince Lukose,KC,UDF,"43,986",34.86,"14,303"
Kottayam,74.48,Thiruvanchoor Radhakrishnan,INC,UDF,"65,401",53.72,K. Anilkumar,CPI(M),LDF,"46,658",38.33,"18,743"
Puthuppally,75.35,Oommen Chandy,INC,UDF,"63,372",48.08,Jaick C. Thomas,CPI(M),LDF,"54,328",41.22,"9,044"
Changanassery,71.98,Job Michael,KC(M),LDF,"55,425",44.85,V. J. Laly,KC,UDF,"49,366",39.94,"6,059"
Kanjirappally,73.96,N. Jayaraj,KC(M),LDF,"60,299",43.79,Joseph Vazhackan,INC,UDF,"46,596",33.84,"13,703"
Poonjar,74.21,Sebastian Kulathunkal,KC(M),LDF,"58,668",41.94,P. C. George,KJ(S),N/A,"41,851",29.92,"16,817"
Aroor,82.58,Daleema Jojo,CPI(M),LDF,"75,617",45.97,Shanimol Usman,INC,UDF,"68,604",41.71,"7,013"
Cherthala,83.8,P. Prasad,CPI,LDF,"83,702",47,S. Sarath,INC,UDF,"77,554",43.55,"6,148"
Alappuzha,78.43,P. P. Chitharanjan,CPI(M),LDF,"73,412",46.33,K. S. Manoj,INC,UDF,"61,768",38.98,"11,644"
Ambalappuzha,76.82,H. Salam,CPI(M),LDF,"61,365",44.79,M. Liju,INC,UDF,"50,240",36.67,"11,125"
Kuttanad,74.86,Thomas K. Thomas,NCP,LDF,"57,379",45.67,Jacob Abraham,KC,UDF,"51,863",41.28,"5,516"
Haripad,76.6,Ramesh Chennithala,INC,UDF,"72,768",48.31,R. Sajilal,CPI,LDF,"59,102",39.24,"13,666"
Kayamkulam,75.47,U. Prathibha,CPI(M),LDF,"77,348",47.97,Aritha Babu,INC,UDF,"71,050",44.06,"6,298"
Mavelikara (SC),73.28,M. S. Arun Kumar,CPI(M),LDF,"71,743",47.61,K. K. Shaju,INC,UDF,"47,026",31.21,"24,717"
Chengannur,70.59,Saji Cherian,CPI(M),LDF,"71,502",48.58,M. Murali,INC,UDF,"39,409",26.78,"32,093"
Thiruvalla,65.88,Mathew T. Thomas,JD(S),LDF,"62,178",44.56,Kunju Koshy Paul,KC,UDF,"50,757",36.37,"11,421"
Ranni,65.95,Pramod Narayan,KC(M),LDF,"52,669",41.22,Rinku Cheriyan,INC,UDF,"51,384",40.21,"1,285"
Aranmula,68.13,Veena George,CPI(M),LDF,"74,950",46.3,K. Sivadasan Nair,INC,UDF,"55,947",34.56,"19,003"
Konni,73.83,K. U. Jenish Kumar,CPI(M),LDF,"62,318",41.62,Robin Peter,INC,UDF,"53,810",35.94,"8,508"
Adoor (SC),74.4,Chittayam Gopakumar,CPI,LDF,"66,569",42.83,M G Kannan,INC,UDF,"63,650",40.96,"2,919"
Karunagappally,80.85,C. R. Mahesh,INC,UDF,"94,225",54.38,R. Ramachandran,CPI(M),LDF,"65,017",37.52,"29,208"
Chavara,78.5,Sujith Vijayanpillai,Ind.,LDF,"63,282",44.29,Shibu Baby John,RSP,UDF,"62,186",43.52,"1,096"
Kunnathur (SC),77.69,Kovoor Kunjumon,Ind.,LDF,"69,436",43.13,Ullas Kovoor,RSP,UDF,"66,646",41.4,"2,790"
Kottarakkara,74.6,K. N. Balagopal,CPI(M),LDF,"68,770",45.98,Resmi R.,INC,UDF,"57,956",38.75,"10,814"
Pathanapuram,74.18,K. B. Ganesh Kumar,KC(B),LDF,"67,276",49.09,Jyothikumar Chamakkala,INC,UDF,"52,940",38.63,"14,336"
Punalur,71.03,P. S. Supal,CPI,LDF,"80,428",54.99,Abdurahiman Randathani,IUML,UDF,"43,371",29.66,"37,057"
Chadayamangalam,73.23,J. Chinchu Rani,CPI,LDF,"67,252",45.69,M. M. Naseer,INC,UDF,"53,574",36.4,"13,678"
Kundara,75.91,P. C. Vishnunath,INC,UDF,"76,405",48.85,J. Mercykutty Amma,CPI(M),LDF,"71,882",45.96,"4,523"
Kollam,74.05,Mukesh,CPI(M),LDF,"58,524",44.86,Bindhu Krishna,INC,UDF,"56,452",43.27,"2,072"
Eravipuram,72.38,M. Noushad,CPI(M),LDF,"71,573",56.25,Babu Divakaran,RSP,UDF,"43,452",34.15,"28,121"
Chathannoor,74.39,G. S. Jayalal,CPI,LDF,"59,296",43.12,B. B. Gopakumar,BJP,NDA,"42,090",30.61,"17,206"
Varkala,72.16,V. Joy,CPI(M),LDF,"68,816",50.89,B. R. M. Shefeer,INC,UDF,"50,995",37.71,"17,821"
Attingal (SC),72.93,O. S. Ambika,CPI(M),LDF,"69,898",47.35,P. Sudheer,BJP,NDA,"38,262",25.92,"31,636"
Chirayinkeezhu (SC),73.26,V. Sasi,CPI,LDF,"62,634",43.17,B. S. Anoop,INC,UDF,"48,617",33.51,"14,017"
Nedumangad,73.8,G. R. Anil,CPI,LDF,"72,742",47.54,P. S. Prasanth,INC,UDF,"49,433",32.31,"23,309"
Vamanapuram,73.14,D. K. Murali,CPI(M),LDF,"73,137",49.91,Anad Jayan,INC,UDF,"62,895",42.92,"10,242"
Kazhakootam,71.37,Kadakampally Surendran,CPI(M),LDF,"63,690",46.04,Sobha Surendran,BJP,NDA,"40,193",29.06,"23,497"
Vattiyoorkavu,66.19,V. K. Prasanth,CPI(M),LDF,"61,111",41.44,V.V. Rajesh,BJP,NDA,"39,596",28.77,"21,515"
Thiruvananthapuram,63.03,Antony Raju,JKC,LDF,"48,748",38.01,V. S. Sivakumar,INC,UDF,"41,659",32.49,"7,089"
Nemom,71.49,V. Sivankutty,CPI(M),LDF,"55,837",38.24,Kummanam Rajasekharan,BJP,NDA,"51,888",35.54,"3,949"
Aruvikkara,75.39,G. Stephen,CPI(M),LDF,"66,776",45.83,K. S. Sabarinathan,INC,UDF,"61,730",42.37,"5,046"
Parassala,74.24,C. K. Hareendran,CPI(M),LDF,"78,548",48.16,Sajitha Ressal,INC,UDF,"52,720",32.23,"25,828"
Kattakkada,74.39,I. B. Sathish,CPI(M),LDF,"66,293",45.52,Malayinkeezhu Venugopal,INC,UDF,"43,062",29.57,"23,231"
Kovalam,72.81,M. Vincent,INC,UDF,"74,868",47.06,Neelalohithadasan Nadar,JD(S),LDF,"63,306",39.79,"11,562"
Neyyattinkara,74.7,K. Ansalan,CPI(M),LDF,"65,497",47.02,R. Selvaraj,INC,UDF,"51,235",36.78,"14,262"
